seed,percent of training data,normal shots,domain shift,classification AUROC,pixel level AUROC,per-region-overlap (PRO) AUROC
4794,15,77,mean,79.075000,89.753825,87.450000
29609,25,129,same,79.400000,91.489247,88.000000
29609,25,129,background,86.000000,89.530326,89.700000
29609,25,129,illumination,87.100000,92.184521,90.500000
29609,25,129,view,73.500000,86.361917,83.800000
29609,25,129,mean,81.500000,89.891503,88.000000
29252,25,129,same,80.600000,91.775802,88.000000
29252,25,129,background,84.300000,89.461020,89.900000
29252,25,129,illumination,90.900000,92.357376,90.400000
29252,25,129,view,70.900000,86.943647,84.400000
29252,25,129,mean,81.675000,90.134461,88.175000
28372,25,129,same,81.300000,91.908900,88.000000
28372,25,129,background,84.700000,89.708515,89.700000
28372,25,129,illumination,85.600000,91.954963,90.600000
28372,25,129,view,72.500000,87.461851,84.700000
28372,25,129,mean,81.025000,90.258557,88.250000
1494,35,180,same,82.700000,92.371486,88.600000
1494,35,180,background,86.900000,89.917103,90.400000
1494,35,180,illumination,84.900000,91.721959,90.100000
1494,35,180,view,77.100000,87.809410,85.000000
1494,35,180,mean,82.900000,90.454989,88.525000
30261,35,180,same,83.000000,92.450790,88.700000
30261,35,180,background,84.400000,89.683567,90.200000
30261,35,180,illumination,88.000000,92.543224,90.200000
30261,35,180,view,74.500000,87.235331,84.700000
30261,35,180,mean,82.475000,90.478228,88.450000
13513,45,233,same,82.800000,92.485061,88.700000
13513,45,233,background,85.500000,89.813074,90.300000
13513,45,233,illumination,87.800000,92.241835,89.900000
13513,45,233,view,75.500000,87.924334,85.500000
13513,45,233,mean,82.900000,90.616076,88.600000
11190,45,233,same,83.000000,92.504190,88.900000
11190,45,233,background,85.200000,89.811534,90.000000
11190,45,233,illumination,86.900000,92.333712,90.200000
11190,45,233,view,76.400000,87.717779,85.200000
11190,45,233,mean,82.875000,90.591804,88.575000
24147,45,233,same,83.400000,92.606154,89.200000
24147,45,233,background,86.300000,90.299759,90.600000
24147,45,233,illumination,87.800000,92.211135,90.100000
24147,45,233,view,76.200000,88.186084,85.700000
24147,45,233,mean,83.425000,90.825783,88.900000
4957,55,285,same,83.800000,92.881683,89.300000
4957,55,285,background,85.800000,89.415856,90.700000
4957,55,285,illumination,87.200000,92.605748,90.300000
4957,55,285,view,77.700000,88.157782,85.600000
4957,55,285,mean,83.625000,90.765267,88.975000
24915,55,285,same,83.100000,92.672661,89.200000
24915,55,285,background,85.700000,89.677433,90.300000
24915,55,285,illumination,87.100000,92.242656,90.100000
24915,55,285,view,77.400000,88.009448,85.800000
